State,Candidate,Party,Votes,Vote share,Electoral votes,Expected votes counted (%)
Alaska,Donald Trump wins,Republican (incumbent),"179,314",54.90%,3,100%
Alaska,Kamala Harris,Democrat,"134,156",41.10%,0,100%
Alaska,Robert F. Kennedy Jr,Independent,"5,434",1.70%,0,100%
Alaska,Chase Oliver,Libertarian,"2,925",0.90%,0,100%
Alaska,Jill Stein,Green,"2,222",0.70%,0,100%
Alaska,Cornel West,Unity,"1,107",0.30%,0,100%
Alaska,Randall Terry,Constitution,816,0.20%,0,100%
Alaska,Peter Sonski,American Solidarity,663,0.20%,0,100%
Alabama,Donald Trump wins,Republican (incumbent),"1,462,616",64.60%,9,100%
Alabama,Kamala Harris,Democrat,"772,412",34.10%,0,100%
Alabama,Robert F. Kennedy Jr,Independent,"12,075",0.50%,0,100%
Alabama,Write-ins,Write - In,"8,738",0.40%,0,100%
Alabama,Chase Oliver,Libertarian,"4,930",0.20%,0,100%
Alabama,Jill Stein,Green,"4,319",0.20%,0,100%
Arkansas,Donald Trump wins,Republican (incumbent),"759,241",64.20%,6,100%
Arkansas,Kamala Harris,Democrat,"396,905",33.60%,0,100%
Arkansas,Robert F. Kennedy Jr,Independent,"13,255",1.10%,0,100%
Arkansas,Chase Oliver,Libertarian,"5,715",0.50%,0,100%
Arkansas,Jill Stein,Green,"4,275",0.40%,0,100%
Arkansas,Peter Sonski,American Solidarity,"2,141",0.20%,0,100%
Arkansas,Michael Wood,Prohibition,"1,144",0.10%,0,100%
Arizona,Donald Trump wins,Republican,"1,770,242",52.20%,11,100%
Arizona,Kamala Harris,Democrat (incumbent),"1,582,860",46.70%,0,100%
Arizona,Jill Stein,Green,"18,319",0.50%,0,100%
Arizona,Chase Oliver,Libertarian,"17,898",0.50%,0,100%
Arizona,Write-ins,Write - In,842,0.00%,0,100%
California,Kamala Harris wins,Democrat (incumbent),"9,276,179",58.50%,54,99%
California,Donald Trump,Republican,"6,081,697",38.30%,0,99%
California,Robert F. Kennedy Jr,Independent,"197,645",1.20%,0,99%
California,Jill Stein,Green,"167,814",1.10%,0,99%
California,Claudia De la Cruz,Peace and Freedom,"72,539",0.50%,0,99%
California,Chase Oliver,Libertarian,"66,662",0.40%,0,99%
California,Write-ins,Write - In,0,0.00%,0,99%
Colorado,Kamala Harris wins,Democrat (incumbent),"1,728,159",54.20%,10,97.60%
Colorado,Donald Trump,Republican,"1,377,441",43.20%,0,97.60%
Colorado,Robert F. Kennedy Jr,Independent,"35,623",1.10%,0,97.60%
Colorado,Chase Oliver,Libertarian,"21,439",0.70%,0,97.60%
Colorado,Jill Stein,Green,"17,344",0.50%,0,97.60%
Colorado,Cornel West,Unity,"5,149",0.20%,0,97.60%
Colorado,Randall Terry,Constitution,"3,522",0.10%,0,97.60%
Colorado,Blake Huber,Approval Voting,"2,196",0.10%,0,97.60%
Colorado,Write-ins,Write - In,0,0.00%,0,97.60%
Connecticut,Kamala Harris wins,Democrat (incumbent),"992,053",56.40%,7,100%
Connecticut,Donald Trump,Republican,"736,918",41.90%,0,100%
Connecticut,Jill Stein,Green,"14,281",0.80%,0,100%
Connecticut,Robert F. Kennedy Jr,Independent,"8,448",0.50%,0,100%
Connecticut,Chase Oliver,Libertarian,"6,729",0.40%,0,100%
Connecticut,Write-ins,Write - In,581,0.00%,0,100%
District of Columbia,Kamala Harris wins,Democrat (incumbent),"294,185",90.30%,3,100%
District of Columbia,Donald Trump,Republican,"21,076",6.50%,0,100%
District of Columbia,Write-ins,Write - In,"7,830",2.40%,0,100%
District of Columbia,Robert F. Kennedy Jr,Independent,"2,778",0.90%,0,100%
Delaware,Kamala Harris wins,Democrat (incumbent),"289,758",56.60%,3,100%
Delaware,Donald Trump,Republican,"214,351",41.90%,0,100%
Delaware,Robert F. Kennedy Jr,Independent,"4,636",0.90%,0,100%
