State,Party,Vote Percentage
Alaska,Republican (incumbent),54.90%
Alaska,Democrat,41.10%
Alaska,Independent,1.70%
Alaska,Libertarian,0.90%
Alaska,Green,0.70%
Alaska,Unity,0.30%
Alaska,Constitution,0.20%
Alaska,American Solidarity,0.20%
Alabama,Republican (incumbent),64.60%
Alabama,Democrat,34.10%
Alabama,Independent,0.50%
Alabama,Write - In,0.40%
Alabama,Libertarian,0.20%
Alabama,Green,0.20%
Arkansas,Republican (incumbent),64.20%
Arkansas,Democrat,33.60%
Arkansas,Independent,1.10%
Arkansas,Libertarian,0.50%
Arkansas,Green,0.40%
Arkansas,American Solidarity,0.20%
Arkansas,Prohibition,0.10%
Arizona,Republican,52.20%
Arizona,Democrat (incumbent),46.70%
Arizona,Green,0.50%
Arizona,Libertarian,0.50%
Arizona,Write - In,0.00%
California,Democrat (incumbent),58.50%
California,Republican,38.30%
California,Independent,1.20%
California,Green,1.10%
California,Peace and Freedom,0.50%
California,Libertarian,0.40%
California,Write - In,0.00%
Colorado,Democrat (incumbent),54.20%
Colorado,Republican,43.20%
Colorado,Independent,1.10%
Colorado,Libertarian,0.70%
Colorado,Green,0.50%
Colorado,Unity,0.20%
Colorado,Constitution,0.10%
Colorado,Approval Voting,0.10%
Colorado,Write - In,0.00%
Connecticut,Democrat (incumbent),56.40%
Connecticut,Republican,41.90%
Connecticut,Green,0.80%
Connecticut,Independent,0.50%
Connecticut,Libertarian,0.40%
Connecticut,Write - In,0.00%
District of Columbia,Democrat (incumbent),90.30%
District of Columbia,Republican,6.50%
District of Columbia,Write - In,2.40%
District of Columbia,Independent,0.90%
Delaware,Democrat (incumbent),56.60%
Delaware,Republican,41.90%
Delaware,Independent,0.90%
Delaware,Libertarian,0.40%
Delaware,Conservative,0.20%
Delaware,Write - In,0.00%
Florida,Republican (incumbent),56.10%
Florida,Democrat,43.00%
Florida,Green,0.40%
Florida,Libertarian,0.30%
Florida,Peace and Freedom,0.10%
Florida,American Solidarity,0.10%
Florida,Constitution,0.10%
Florida,Write - In,0.00%
Georgia,Republican,50.70%
Georgia,Democrat (incumbent),48.50%
Georgia,Libertarian,0.40%
Georgia,Green,0.30%
Georgia,Write - In,0.00%
Hawaii,Democrat (incumbent),60.60%
Hawaii,Republican,37.50%
Hawaii,Green,0.80%
Hawaii,Libertarian,0.50%
Hawaii,Peace and Freedom,0.40%
Hawaii,American Solidarity,0.20%
Iowa,Republican (incumbent),55.70%
Iowa,Democrat,42.50%
Iowa,Independent,0.80%
Iowa,Libertarian,0.40%
Iowa,Write - In,0.40%
Iowa,Peace and Freedom,0.10%
Iowa,Independent,0.00%
Iowa,Socialist,0.00%
Idaho,Republican (incumbent),66.90%
Idaho,Democrat,30.40%
Idaho,Independent,1.40%
Idaho,Libertarian,0.50%
Idaho,Green,0.30%
Idaho,Constitution,0.20%
Idaho,Peace and Freedom,0.10%
Idaho,Constitution,0.10%
Idaho,Independent,0.10%
Idaho,Write - In,0.00%
